service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
168174,1,1,1,1,1,1,1,20231025,20280930
168237,1,1,1,1,1,1,1,20210315,20261114
168278,0,0,0,0,0,1,1,20231025,20280930
168291,1,1,1,1,1,1,0,20230701,20280930
168584,0,0,0,0,0,0,1,20210601,20250617
168596,1,1,1,1,1,1,1,20210617,20240731
168598,1,1,1,1,1,1,1,20210617,20240731
168668,1,1,1,1,1,0,0,20230701,20280930
168810,1,1,1,1,1,1,1,20210501,20250630
168867,1,1,1,1,1,0,0,20230701,20280930
168912,1,1,1,1,1,0,1,20230701,20240131
168914,1,1,1,1,1,0,0,20210412,20250122
168919,0,0,0,0,0,1,0,20230701,20280930
168920,0,0,0,0,0,1,0,20230701,20280930
168921,1,1,1,1,1,0,0,20230701,20280930
169092,1,1,1,1,1,1,1,20230701,20280930
169272,1,1,1,1,1,1,0,20210628,20260403
169283,0,0,0,0,0,0,1,20210628,20240317
169297,1,1,1,1,1,1,1,20230701,20280930
169303,1,1,1,1,1,1,1,20230701,20280930
169340,1,1,1,1,1,1,1,20230701,20280930
169344,0,0,0,0,0,1,0,20230701,20280930
169347,0,0,0,0,0,1,0,20230701,20280930
169360,1,1,1,1,1,0,0,20230701,20280930
169365,0,0,1,0,0,0,0,20210401,20250122
169366,1,1,1,1,1,1,1,20230701,20280930
169367,0,0,1,0,0,0,0,20210402,20250122
169370,0,0,0,0,0,0,1,20230701,20280930
169371,1,1,1,1,1,1,0,20230701,20240131
169372,1,1,1,1,1,1,0,20230701,20280930
169498,1,1,1,1,1,0,0,20210419,20241231
169502,1,1,1,1,1,1,1,20210419,20241231
169503,1,1,1,1,1,1,1,20210419,20241231
169504,1,1,1,1,1,0,1,20210419,20241231
169508,1,1,0,1,1,0,0,20210419,20241231
169549,1,1,1,1,1,1,0,20230701,20280930
169550,1,1,1,1,1,1,0,20230701,20240131
169560,1,1,0,1,1,0,0,20210501,20250122
169564,1,1,1,1,1,1,1,20230701,20280930
169578,0,0,0,0,0,1,1,20210501,20250122
169580,0,0,0,0,0,1,0,20210501,20250122
169582,1,1,0,1,1,0,0,20210501,20250122
169585,1,1,1,1,1,0,0,20210501,20250122
169588,0,0,0,0,0,1,0,20210501,20250122
169593,1,1,1,1,1,0,0,20210501,20250122
169598,1,1,1,1,1,0,0,20210501,20250122
169599,1,1,1,1,1,0,0,20230701,20280930
169605,1,1,1,1,1,0,0,20230701,20280930
169614,1,1,1,1,1,0,0,20210501,20250122
169617,1,1,1,1,1,0,0,20210501,20250122
169622,1,1,1,1,1,0,0,20210501,20250122
169623,1,1,1,1,1,0,0,20230701,20280930
169625,1,1,1,1,1,0,0,20210501,20250122
169652,1,1,1,1,1,1,0,20230701,20280930
169666,1,1,1,1,1,1,1,20230701,20280930
169707,1,1,1,1,1,1,1,20230701,20280930
169754,1,1,1,1,1,1,1,20230701,20280930
169755,1,1,1,1,1,1,1,20230701,20280930
169759,1,1,1,1,1,1,1,20230701,20280930
169763,1,1,1,1,1,0,0,20230701,20280930
169766,1,1,1,1,1,0,0,20230701,20280930
169767,0,0,0,0,0,0,1,20230701,20280930
169768,0,0,0,0,0,0,1,20210419,20241231
169773,0,0,0,0,1,0,0,20230701,20280930
169808,1,1,1,1,1,0,0,20230701,20240229
169809,1,1,1,1,1,0,0,20230701,20240131
169810,1,1,1,1,1,1,1,20230701,20280930
169816,1,1,1,1,1,0,0,20230701,20280930
169879,1,1,1,1,1,0,0,20211129,20240331
169881,0,0,0,0,0,1,0,20211129,20240331
169897,1,1,1,1,1,0,0,20211129,20240331
169942,1,1,1,1,1,1,0,20230701,20280930
169950,1,1,1,1,1,1,0,20230701,20280930
169951,0,0,0,0,0,1,0,20230901,20250122
169952,0,0,0,0,0,1,0,20230901,20250122
169953,0,0,0,0,0,1,0,20230901,20250122
169954,0,0,0,0,0,1,0,20230901,20250122
169955,0,0,0,0,0,1,0,20230901,20250122
169956,0,0,0,0,0,1,0,20230901,20250122
169957,0,0,0,0,0,1,0,20230901,20250122
169958,0,0,0,0,0,0,1,20230901,20250122
169959,0,0,0,0,0,0,1,20230901,20250122
169960,0,0,0,0,0,0,1,20230901,20250122
169961,0,0,0,0,0,0,1,20230901,20250122
169962,0,0,0,0,0,0,1,20230901,20250122
169963,0,0,0,0,0,0,1,20230901,20250122
169964,0,0,0,0,0,0,1,20230901,20250122
170080,1,1,1,1,1,1,1,20230701,20280930
170081,1,1,1,1,1,1,1,20230701,20280930
